FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,0,373,G01000100201001000,01001,020100,1000,010010201001000,01000100201001000,0.000000000000000, ,62328.000000000000000
1,1,16,373,G01000100201001016,01001,020100,1016,010010201001016,01000100201001016,0.000000000000000, ,62328.000000000000000
2,1,30,373,G01000100201002010,01001,020100,2010,010010201002010,01000100201002010,0.000000000000000, ,62328.000000000000000
3,1,32,373,G01000100201002012,01001,020100,2012,010010201002012,01000100201002012,0.000000000000000, ,62328.000000000000000
4,1,33,373,G01000100201002013,01001,020100,2013,010010201002013,01000100201002013,0.000000000000000, ,62328.000000000000000
5,1,35,373,G01000100201002015,01001,020100,2015,010010201002015,01000100201002015,0.000000000000000, ,62328.000000000000000
6,1,94,373,G01000100203001000,01001,020300,1000,010010203001000,01000100203001000,0.000000000000000, ,62328.000000000000000
7,1,130,373,G01000100204001000,01001,020400,1000,010010204001000,01000100204001000,0.000000000000000, ,62328.000000000000000
8,1,235,373,G01000100205002002,01001,020500,2002,010010205002002,01000100205002002,0.000000000000000, ,62328.000000000000000
9,1,269,373,G01000100205002036,01001,020500,2036,010010205002036,01000100205002036,0.000000000000000, ,62328.000000000000000
10,1,303,373,G01000100206002005,01001,020600,2005,010010206002005,01000100206002005,0.000000000000000, ,62328.000000000000000
11,1,306,373,G01000100206002008,01001,020600,2008,010010206002008,01000100206002008,0.000000000000000, ,62328.000000000000000
12,1,315,373,G01000100206002017,01001,020600,2017,010010206002017,01000100206002017,0.000000000000000, ,62328.000000000000000
13,1,327,373,G01000100206002029,01001,020600,2029,010010206002029,01000100206002029,0.000000000000000, ,62328.000000000000000
14,1,328,373,G01000100206002030,01001,020600,2030,010010206002030,01000100206002030,0.000000000000000, ,62328.000000000000000
15,1,329,373,G01000100206002031,01001,020600,2031,010010206002031,01000100206002031,0.000000000000000, ,62328.000000000000000
16,1,336,373,G01000100207001006,01001,020700,1006,010010207001006,01000100207001006,0.000000000000000, ,62328.000000000000000
17,1,337,373,G01000100207001007,01001,020700,1007,010010207001007,01000100207001007,0.000000000000000, ,62328.000000000000000
18,1,338,373,G01000100207001008,01001,020700,1008,010010207001008,01000100207001008,0.000000000000000, ,62328.000000000000000
19,1,341,373,G01000100207001011,01001,020700,1011,010010207001011,01000100207001011,0.000000000000000, ,62328.000000000000000
20,1,345,373,G01000100207001015,01001,020700,1015,010010207001015,01000100207001015,0.000000000000000, ,62328.000000000000000
21,1,372,373,G01000100207001042,01001,020700,1042,010010207001042,01000100207001042,0.000000000000000, ,62328.000000000000000
22,1,374,373,G01000100207001044,01001,020700,1044,010010207001044,01000100207001044,0.000000000000000, ,62328.000000000000000
23,1,377,373,G01000100207001047,01001,020700,1047,010010207001047,01000100207001047,0.000000000000000, ,62328.000000000000000
24,1,382,373,G01000100207001052,01001,020700,1052,010010207001052,01000100207001052,0.000000000000000, ,62328.000000000000000
25,1,385,373,G01000100207001055,01001,020700,1055,010010207001055,01000100207001055,0.000000000000000, ,62328.000000000000000
26,1,387,373,G01000100207001057,01001,020700,1057,010010207001057,01000100207001057,0.000000000000000, ,62328.000000000000000
27,1,388,373,G01000100207001058,01001,020700,1058,010010207001058,01000100207001058,0.000000000000000, ,62328.000000000000000
28,1,391,373,G01000100207002001,01001,020700,2001,010010207002001,01000100207002001,0.000000000000000, ,62328.000000000000000
29,1,419,373,G01000100208001008,01001,020800,1008,010010208001008,01000100208001008,0.000000000000000, ,62328.000000000000000
