"","Join_Count","TARGET_FID","JOIN_FID","GISJOIN","FIPSSTCO","TRACT2000","BLOCK2000","STFID","GISJOIN2","PLACEA","blockgen","PLACEA_1"
"0","1","1","421","G05000109801001001","05001","980100","1001","050019801001001","05000109801001001",NA,NA,"61940"
"1","1","2","421","G05000109801001002","05001","980100","1002","050019801001002","05000109801001002",NA,NA,"61940"
"2","1","8","421","G05000109801001008","05001","980100","1008","050019801001008","05000109801001008",NA,NA,"61940"
"3","1","12","421","G05000109801001012","05001","980100","1012","050019801001012","05000109801001012",NA,NA,"61940"
"4","1","44","421","G05000109801001044","05001","980100","1044","050019801001044","05000109801001044",NA,NA,"61940"
"5","1","52","421","G05000109801001052","05001","980100","1052","050019801001052","05000109801001052",NA,NA,"61940"
"6","1","53","421","G05000109801001053","05001","980100","1053","050019801001053","05000109801001053",NA,NA,"61940"
"7","1","69","421","G05000109801001069","05001","980100","1069","050019801001069","05000109801001069",NA,NA,"61940"
"8","1","72","421","G05000109801001072","05001","980100","1072","050019801001072","05000109801001072",NA,NA,"61940"
"9","1","73","421","G05000109801001073","05001","980100","1073","050019801001073","05000109801001073",NA,NA,"61940"
"10","1","163","421","G05000109801001979","05001","980100","1979","050019801001979","05000109801001979",NA,NA,"61940"
"11","1","165","421","G05000109801001981","05001","980100","1981","050019801001981","05000109801001981",NA,NA,"61940"
"12","1","183","421","G05000109801001999","05001","980100","1999","050019801001999","05000109801001999",NA,NA,"61940"
"13","1","448","5","G05000109802001144","05001","980200","1144","050019802001144","05000109802001144",NA,NA,"01030"
"14","1","449","5","G05000109802001145","05001","980200","1145","050019802001145","05000109802001145",NA,NA,"01030"
"15","1","450","5","G05000109802001146","05001","980200","1146","050019802001146","05000109802001146",NA,NA,"01030"
"16","1","451","5","G05000109802001147","05001","980200","1147","050019802001147","05000109802001147",NA,NA,"01030"
"17","1","453","5","G05000109802001149","05001","980200","1149","050019802001149","05000109802001149",NA,NA,"01030"
"18","1","463","5","G05000109802001159","05001","980200","1159","050019802001159","05000109802001159",NA,NA,"01030"
"19","1","466","5","G05000109802001162","05001","980200","1162","050019802001162","05000109802001162",NA,NA,"01030"
"20","1","497","5","G05000109802001193","05001","980200","1193","050019802001193","05000109802001193",NA,NA,"01030"
"21","1","521","450","G05000109802002007","05001","980200","2007","050019802002007","05000109802002007",NA,NA,"67490"
"22","1","522","450","G05000109802002008","05001","980200","2008","050019802002008","05000109802002008",NA,NA,"67490"
"23","1","780","241","G05000109802003029","05001","980200","3029","050019802003029","05000109802003029",NA,NA,"33850"
"24","1","786","241","G05000109802003035","05001","980200","3035","050019802003035","05000109802003035",NA,NA,"33850"
"25","1","817","241","G05000109802003066","05001","980200","3066","050019802003066","05000109802003066",NA,NA,"33850"
"26","1","832","241","G05000109802003081","05001","980200","3081","050019802003081","05000109802003081",NA,NA,"33850"
"27","1","833","241","G05000109802003082","05001","980200","3082","050019802003082","05000109802003082",NA,NA,"33850"
"28","1","907","450","G05000109803001014","05001","980300","1014","050019803001014","05000109803001014",NA,NA,"67490"
"29","1","908","450","G05000109803001015","05001","980300","1015","050019803001015","05000109803001015",NA,NA,"67490"
"30","1","915","450","G05000109803001022","05001","980300","1022","050019803001022","05000109803001022",NA,NA,"67490"
"31","1","917","450","G05000109803001024","05001","980300","1024","050019803001024","05000109803001024",NA,NA,"67490"
"32","1","921","450","G05000109803001028","05001","980300","1028","050019803001028","05000109803001028",NA,NA,"67490"
"33","1","1008","450","G05000109803003004","05001","980300","3004","050019803003004","05000109803003004",NA,NA,"67490"
"34","1","1010","450","G05000109803003006","05001","980300","3006","050019803003006","05000109803003006",NA,NA,"67490"
"35","1","1013","450","G05000109803003009","05001","980300","3009","050019803003009","05000109803003009",NA,NA,"67490"
"36","1","1018","450","G05000109803003014","05001","980300","3014","050019803003014","05000109803003014",NA,NA,"67490"
"37","1","1023","450","G05000109803003019","05001","980300","3019","050019803003019","05000109803003019",NA,NA,"67490"
"38","1","1025","450","G05000109803003021","05001","980300","3021","050019803003021","05000109803003021",NA,NA,"67490"
"39","1","1026","450","G05000109803003022","05001","980300","3022","050019803003022","05000109803003022",NA,NA,"67490"
"40","1","1054","450","G05000109803003050","05001","980300","3050","050019803003050","05000109803003050",NA,NA,"67490"
"41","1","1057","450","G05000109803003053","05001","980300","3053","050019803003053","05000109803003053",NA,NA,"67490"
"42","1","1062","450","G05000109803003058","05001","980300","3058","050019803003058","05000109803003058",NA,NA,"67490"
"43","1","1075","450","G05000109804001007","05001","980400","1007","050019804001007","05000109804001007",NA,NA,"67490"
"44","1","1082","450","G05000109804001014","05001","980400","1014","050019804001014","05000109804001014",NA,NA,"67490"
"45","1","1097","450","G05000109804001029","05001","980400","1029","050019804001029","05000109804001029",NA,NA,"67490"
"46","1","1131","450","G05000109804002024","05001","980400","2024","050019804002024","05000109804002024",NA,NA,"67490"
"47","1","1132","450","G05000109804002025","05001","980400","2025","050019804002025","05000109804002025",NA,NA,"67490"
"48","1","1133","450","G05000109804002026","05001","980400","2026","050019804002026","05000109804002026",NA,NA,"67490"
"49","1","1137","450","G05000109804002030","05001","980400","2030","050019804002030","05000109804002030",NA,NA,"67490"
"50","1","1221","450","G05000109804004007","05001","980400","4007","050019804004007","05000109804004007",NA,NA,"67490"
"51","1","1222","450","G05000109804004008","05001","980400","4008","050019804004008","05000109804004008",NA,NA,"67490"
"52","1","1246","450","G05000109804004032","05001","980400","4032","050019804004032","05000109804004032",NA,NA,"67490"
"53","1","1299","450","G05000109805002002","05001","980500","2002","050019805002002","05000109805002002",NA,NA,"67490"
"54","1","1301","450","G05000109805002004","05001","980500","2004","050019805002004","05000109805002004",NA,NA,"67490"
"55","1","1302","450","G05000109805002005","05001","980500","2005","050019805002005","05000109805002005",NA,NA,"67490"
"56","1","1303","450","G05000109805002006","05001","980500","2006","050019805002006","05000109805002006",NA,NA,"67490"
"57","1","1346","450","G05000109805002049","05001","980500","2049","050019805002049","05000109805002049",NA,NA,"67490"
"58","1","1447","450","G05000109805005019","05001","980500","5019","050019805005019","05000109805005019",NA,NA,"67490"
"59","1","1450","450","G05000109805005022","05001","980500","5022","050019805005022","05000109805005022",NA,NA,"67490"
"60","1","1459","125","G05000109806001008","05001","980600","1008","050019806001008","05000109806001008",NA,NA,"18790"
"61","1","1460","125","G05000109806001009","05001","980600","1009","050019806001009","05000109806001009",NA,NA,"18790"
"62","1","1487","125","G05000109806001036","05001","980600","1036","050019806001036","05000109806001036",NA,NA,"18790"
"63","1","1515","125","G05000109806001064","05001","980600","1064","050019806001064","05000109806001064",NA,NA,"18790"
"64","1","1516","125","G05000109806001065","05001","980600","1065","050019806001065","05000109806001065",NA,NA,"18790"
"65","1","1563","125","G05000109806002032","05001","980600","2032","050019806002032","05000109806002032",NA,NA,"18790"
"66","1","1564","125","G05000109806002033","05001","980600","2033","050019806002033","05000109806002033",NA,NA,"18790"
"67","1","1565","125","G05000109806002034","05001","980600","2034","050019806002034","05000109806002034",NA,NA,"18790"
"68","1","1577","125","G05000109806002046","05001","980600","2046","050019806002046","05000109806002046",NA,NA,"18790"
"69","1","1578","125","G05000109806002047","05001","980600","2047","050019806002047","05000109806002047",NA,NA,"18790"
"70","1","1617","125","G05000109807001022","05001","980700","1022","050019807001022","05000109807001022",NA,NA,"18790"
"71","1","1618","125","G05000109807001023","05001","980700","1023","050019807001023","05000109807001023",NA,NA,"18790"
"72","1","1619","125","G05000109807001024","05001","980700","1024","050019807001024","05000109807001024",NA,NA,"18790"
"73","1","1628","125","G05000109807001033","05001","980700","1033","050019807001033","05000109807001033",NA,NA,"18790"
"74","1","1632","125","G05000109807001037","05001","980700","1037","050019807001037","05000109807001037",NA,NA,"18790"
"75","1","1641","125","G05000109807001046","05001","980700","1046","050019807001046","05000109807001046",NA,NA,"18790"
"76","1","1642","125","G05000109807001047","05001","980700","1047","050019807001047","05000109807001047",NA,NA,"18790"
"77","1","1644","125","G05000109807002001","05001","980700","2001","050019807002001","05000109807002001",NA,NA,"18790"
"78","1","1657","125","G05000109807002014","05001","980700","2014","050019807002014","05000109807002014",NA,NA,"18790"
"79","1","1694","125","G05000109807002051","05001","980700","2051","050019807002051","05000109807002051",NA,NA,"18790"
"80","1","1695","125","G05000109807002052","05001","980700","2052","050019807002052","05000109807002052",NA,NA,"18790"
"81","1","1753","125","G05000109807004000","05001","980700","4000","050019807004000","05000109807004000",NA,NA,"18790"
"82","1","2020","181","G05000109808001215","05001","980800","1215","050019808001215","05000109808001215",NA,NA,"26980"
"83","1","2023","181","G05000109808001218","05001","980800","1218","050019808001218","05000109808001218",NA,NA,"26980"
"84","1","2026","181","G05000109808001221","05001","980800","1221","050019808001221","05000109808001221",NA,NA,"26980"
"85","1","2027","181","G05000109808001222","05001","980800","1222","050019808001222","05000109808001222",NA,NA,"26980"
"86","1","2030","181","G05000109808001225","05001","980800","1225","050019808001225","05000109808001225",NA,NA,"26980"
"87","1","2172","181","G05000109808002000","05001","980800","2000","050019808002000","05000109808002000",NA,NA,"26980"
"88","1","2228","181","G05000109808002056","05001","980800","2056","050019808002056","05000109808002056",NA,NA,"26980"
"89","1","2229","181","G05000109808002057","05001","980800","2057","050019808002057","05000109808002057",NA,NA,"26980"
"90","1","2254","328","G05000309601001020","05003","960100","1020","050039601001020","05000309601001020",NA,NA,"46670"
"91","1","2261","328","G05000309601001027","05003","960100","1027","050039601001027","05000309601001027",NA,NA,"46670"
"92","1","2298","328","G05000309601001064","05003","960100","1064","050039601001064","05000309601001064",NA,NA,"46670"
"93","1","2299","328","G05000309601001065","05003","960100","1065","050039601001065","05000309601001065",NA,NA,"46670"
"94","1","2301","328","G05000309601001067","05003","960100","1067","050039601001067","05000309601001067",NA,NA,"46670"
"95","1","2302","328","G05000309601001068","05003","960100","1068","050039601001068","05000309601001068",NA,NA,"46670"
"96","1","2534","392","G05000309601003000","05003","960100","3000","050039601003000","05000309601003000",NA,NA,"56750"
"97","1","2537","392","G05000309601003003","05003","960100","3003","050039601003003","05000309601003003",NA,NA,"56750"
"98","1","2542","392","G05000309601003008","05003","960100","3008","050039601003008","05000309601003008",NA,NA,"56750"
"99","1","2576","392","G05000309601003042","05003","960100","3042","050039601003042","05000309601003042",NA,NA,"56750"
"100","1","2577","392","G05000309601003043","05003","960100","3043","050039601003043","05000309601003043",NA,NA,"56750"
"101","1","2580","392","G05000309601003046","05003","960100","3046","050039601003046","05000309601003046",NA,NA,"56750"
"102","1","2583","392","G05000309601003049","05003","960100","3049","050039601003049","05000309601003049",NA,NA,"56750"
"103","1","2587","392","G05000309601003053","05003","960100","3053","050039601003053","05000309601003053",NA,NA,"56750"
"104","1","2588","392","G05000309601003054","05003","960100","3054","050039601003054","05000309601003054",NA,NA,"56750"
"105","1","2591","392","G05000309601003057","05003","960100","3057","050039601003057","05000309601003057",NA,NA,"56750"
"106","1","2592","392","G05000309601003058","05003","960100","3058","050039601003058","05000309601003058",NA,NA,"56750"
"107","1","2596","392","G05000309601003062","05003","960100","3062","050039601003062","05000309601003062",NA,NA,"56750"
"108","1","2618","370","G05000309601003084","05003","960100","3084","050039601003084","05000309601003084",NA,NA,"53510"
"109","1","2619","370","G05000309601003085","05003","960100","3085","050039601003085","05000309601003085",NA,NA,"53510"
"110","1","2620","370","G05000309601003086","05003","960100","3086","050039601003086","05000309601003086",NA,NA,"53510"
"111","1","2635","370","G05000309601003101","05003","960100","3101","050039601003101","05000309601003101",NA,NA,"53510"
"112","1","2640","370","G05000309601003106","05003","960100","3106","050039601003106","05000309601003106",NA,NA,"53510"
"113","1","2643","370","G05000309601003109","05003","960100","3109","050039601003109","05000309601003109",NA,NA,"53510"
"114","1","2675","165","G05000309602001004","05003","960200","1004","050039602001004","05000309602001004",NA,NA,"24670"
"115","1","2695","165","G05000309602001024","05003","960200","1024","050039602001024","05000309602001024",NA,NA,"24670"
"116","1","2704","165","G05000309602001033","05003","960200","1033","050039602001033","05000309602001033",NA,NA,"24670"
"117","1","2724","165","G05000309602001053","05003","960200","1053","050039602001053","05000309602001053",NA,NA,"24670"
"118","1","2744","165","G05000309602001073","05003","960200","1073","050039602001073","05000309602001073",NA,NA,"24670"
"119","1","2759","165","G05000309602001088","05003","960200","1088","050039602001088","05000309602001088",NA,NA,"24670"
"120","1","2773","165","G05000309602001102","05003","960200","1102","050039602001102","05000309602001102",NA,NA,"24670"
"121","1","2859","349","G05000309602002074","05003","960200","2074","050039602002074","05000309602002074",NA,NA,"50240"
"122","1","2862","349","G05000309602002077","05003","960200","2077","050039602002077","05000309602002077",NA,NA,"50240"
"123","1","2863","349","G05000309602002078","05003","960200","2078","050039602002078","05000309602002078",NA,NA,"50240"
"124","1","2864","349","G05000309602002079","05003","960200","2079","050039602002079","05000309602002079",NA,NA,"50240"
"125","1","2865","349","G05000309602002080","05003","960200","2080","050039602002080","05000309602002080",NA,NA,"50240"
"126","1","2866","349","G05000309602002081","05003","960200","2081","050039602002081","05000309602002081",NA,NA,"50240"
"127","1","2888","205","G05000309603001002","05003","960300","1002","050039603001002","05000309603001002",NA,NA,"29500"
"128","1","2897","205","G05000309603001011","05003","960300","1011","050039603001011","05000309603001011",NA,NA,"29500"
"129","1","2925","205","G05000309603002009","05003","960300","2009","050039603002009","05000309603002009",NA,NA,"29500"
"130","1","2960","205","G05000309603003006","05003","960300","3006","050039603003006","05000309603003006",NA,NA,"29500"
"131","1","2964","205","G05000309603003010","05003","960300","3010","050039603003010","05000309603003010",NA,NA,"29500"
"132","1","2987","205","G05000309603003033","05003","960300","3033","050039603003033","05000309603003033",NA,NA,"29500"
"133","1","2988","205","G05000309603003034","05003","960300","3034","050039603003034","05000309603003034",NA,NA,"29500"
"134","1","2989","205","G05000309603003035","05003","960300","3035","050039603003035","05000309603003035",NA,NA,"29500"
"135","1","2996","349","G05000309603003042","05003","960300","3042","050039603003042","05000309603003042",NA,NA,"50240"
"136","1","3000","349","G05000309603003046","05003","960300","3046","050039603003046","05000309603003046",NA,NA,"50240"
"137","1","3004","349","G05000309603003050","05003","960300","3050","050039603003050","05000309603003050",NA,NA,"50240"
"138","1","3007","349","G05000309603003053","05003","960300","3053","050039603003053","05000309603003053",NA,NA,"50240"
"139","1","3018","349","G05000309603003064","05003","960300","3064","050039603003064","05000309603003064",NA,NA,"50240"
"140","1","3039","205","G05000309603004002","05003","960300","4002","050039603004002","05000309603004002",NA,NA,"29500"
"141","1","3077","205","G05000309603004040","05003","960300","4040","050039603004040","05000309603004040",NA,NA,"29500"
"142","1","3084","205","G05000309603004047","05003","960300","4047","050039603004047","05000309603004047",NA,NA,"29500"
"143","1","3085","205","G05000309603004048","05003","960300","4048","050039603004048","05000309603004048",NA,NA,"29500"
"144","1","3120","370","G05000309604001020","05003","960400","1020","050039604001020","05000309604001020",NA,NA,"53510"
"145","1","3130","370","G05000309604001030","05003","960400","1030","050039604001030","05000309604001030",NA,NA,"53510"
"146","1","3213","370","G05000309604001113","05003","960400","1113","050039604001113","05000309604001113",NA,NA,"53510"
"147","1","3214","370","G05000309604001114","05003","960400","1114","050039604001114","05000309604001114",NA,NA,"53510"
"148","1","3218","370","G05000309604001118","05003","960400","1118","050039604001118","05000309604001118",NA,NA,"53510"
"149","1","3228","507","G05000309604001128","05003","960400","1128","050039604001128","05000309604001128",NA,NA,"75890"
"150","1","3234","507","G05000309604001134","05003","960400","1134","050039604001134","05000309604001134",NA,NA,"75890"
"151","1","3235","507","G05000309604001135","05003","960400","1135","050039604001135","05000309604001135",NA,NA,"75890"
"152","1","3244","507","G05000309604001144","05003","960400","1144","050039604001144","05000309604001144",NA,NA,"75890"
"153","1","3246","507","G05000309604001146","05003","960400","1146","050039604001146","05000309604001146",NA,NA,"75890"
"154","1","3416","507","G05000309604001999","05003","960400","1999","050039604001999","05000309604001999",NA,NA,"75890"
