FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,28,40,G10000100401002000,10001,040100,2000,100010401002000,10000100401002000, , ,39100
1,1,29,40,G10000100401002001,10001,040100,2001,100010401002001,10000100401002001, , ,39100
2,1,30,40,G10000100401002002,10001,040100,2002,100010401002002,10000100401002002, , ,39100
3,1,44,40,G10000100401002016,10001,040100,2016,100010401002016,10000100401002016, , ,39100
4,1,50,40,G10000100401002022,10001,040100,2022,100010401002022,10000100401002022, , ,39100
5,1,51,40,G10000100401002023,10001,040100,2023,100010401002023,10000100401002023, , ,39100
6,1,108,66,G10000100402011000,10001,040201,1000,100010402011000,10000100402011000, , ,67310
7,1,109,66,G10000100402011001,10001,040201,1001,100010402011001,10000100402011001, , ,67310
8,1,113,14,G10000100402011005,10001,040201,1005,100010402011005,10000100402011005, , ,15440
9,1,114,14,G10000100402011006,10001,040201,1006,100010402011006,10000100402011006, , ,15440
10,1,114,66,G10000100402011006,10001,040201,1006,100010402011006,10000100402011006, , ,67310
11,1,115,14,G10000100402011007,10001,040201,1007,100010402011007,10000100402011007, , ,15440
12,1,115,66,G10000100402011007,10001,040201,1007,100010402011007,10000100402011007, , ,67310
13,1,118,14,G10000100402011010,10001,040201,1010,100010402011010,10000100402011010, , ,15440
14,1,118,66,G10000100402011010,10001,040201,1010,100010402011010,10000100402011010, , ,67310
15,1,119,14,G10000100402011011,10001,040201,1011,100010402011011,10000100402011011, , ,15440
16,1,120,14,G10000100402011012,10001,040201,1012,100010402011012,10000100402011012, , ,15440
17,1,120,66,G10000100402011012,10001,040201,1012,100010402011012,10000100402011012, , ,67310
18,1,130,14,G10000100402011022,10001,040201,1022,100010402011022,10000100402011022, , ,15440
19,1,145,14,G10000100402011037,10001,040201,1037,100010402011037,10000100402011037, , ,15440
20,1,146,14,G10000100402011038,10001,040201,1038,100010402011038,10000100402011038, , ,15440
21,1,146,66,G10000100402011038,10001,040201,1038,100010402011038,10000100402011038, , ,67310
22,1,161,14,G10000100402011053,10001,040201,1053,100010402011053,10000100402011053, , ,15440
23,1,162,14,G10000100402011054,10001,040201,1054,100010402011054,10000100402011054, , ,15440
24,1,163,14,G10000100402011055,10001,040201,1055,100010402011055,10000100402011055, , ,15440
25,1,171,14,G10000100402011063,10001,040201,1063,100010402011063,10000100402011063, , ,15440
26,1,178,14,G10000100402011070,10001,040201,1070,100010402011070,10000100402011070, , ,15440
27,1,180,66,G10000100402011999,10001,040201,1999,100010402011999,10000100402011999, , ,67310
28,1,220,66,G10000100402012039,10001,040201,2039,100010402012039,10000100402012039, , ,67310
29,1,221,66,G10000100402012040,10001,040201,2040,100010402012040,10000100402012040, , ,67310
30,1,223,66,G10000100402012042,10001,040201,2042,100010402012042,10000100402012042, , ,67310
31,1,224,66,G10000100402012043,10001,040201,2043,100010402012043,10000100402012043, , ,67310
32,1,227,66,G10000100402012046,10001,040201,2046,100010402012046,10000100402012046, , ,67310
33,1,229,66,G10000100402012048,10001,040201,2048,100010402012048,10000100402012048, , ,67310
34,1,264,66,G10000100402021034,10001,040202,1034,100010402021034,10000100402021034, , ,67310
35,1,269,66,G10000100402021039,10001,040202,1039,100010402021039,10000100402021039, , ,67310
36,1,272,66,G10000100402021042,10001,040202,1042,100010402021042,10000100402021042, , ,67310
37,1,273,66,G10000100402021043,10001,040202,1043,100010402021043,10000100402021043, , ,67310
38,1,274,66,G10000100402021044,10001,040202,1044,100010402021044,10000100402021044, , ,67310
39,1,275,66,G10000100402021045,10001,040202,1045,100010402021045,10000100402021045, , ,67310
40,1,276,66,G10000100402021046,10001,040202,1046,100010402021046,10000100402021046, , ,67310
41,1,277,66,G10000100402021047,10001,040202,1047,100010402021047,10000100402021047, , ,67310
42,1,280,66,G10000100402021050,10001,040202,1050,100010402021050,10000100402021050, , ,67310
43,1,281,66,G10000100402021051,10001,040202,1051,100010402021051,10000100402021051, , ,67310
44,1,284,66,G10000100402021054,10001,040202,1054,100010402021054,10000100402021054, , ,67310
45,1,285,66,G10000100402021055,10001,040202,1055,100010402021055,10000100402021055, , ,67310
46,1,286,66,G10000100402021056,10001,040202,1056,100010402021056,10000100402021056, , ,67310
47,1,291,66,G10000100402021061,10001,040202,1061,100010402021061,10000100402021061, , ,67310
48,1,294,66,G10000100402021064,10001,040202,1064,100010402021064,10000100402021064, , ,67310
