FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,160,42,G13000109502001009,13001,950200,1009,130019502001009,13000109502001009, , ,06016
1,1,163,42,G13000109502001012,13001,950200,1012,130019502001012,13000109502001012, , ,06016
2,1,164,42,G13000109502001013,13001,950200,1013,130019502001013,13000109502001013, , ,06016
3,1,171,42,G13000109502001020,13001,950200,1020,130019502001020,13000109502001020, , ,06016
4,1,179,42,G13000109502001028,13001,950200,1028,130019502001028,13000109502001028, , ,06016
5,1,180,42,G13000109502001029,13001,950200,1029,130019502001029,13000109502001029, , ,06016
6,1,190,42,G13000109502001039,13001,950200,1039,130019502001039,13000109502001039, , ,06016
7,1,193,42,G13000109502001042,13001,950200,1042,130019502001042,13000109502001042, , ,06016
8,1,195,42,G13000109502001044,13001,950200,1044,130019502001044,13000109502001044, , ,06016
9,1,197,42,G13000109502001046,13001,950200,1046,130019502001046,13000109502001046, , ,06016
10,1,198,42,G13000109502001047,13001,950200,1047,130019502001047,13000109502001047, , ,06016
11,1,203,42,G13000109502001052,13001,950200,1052,130019502001052,13000109502001052, , ,06016
12,1,207,42,G13000109502001056,13001,950200,1056,130019502001056,13000109502001056, , ,06016
13,1,213,42,G13000109502001062,13001,950200,1062,130019502001062,13000109502001062, , ,06016
14,1,214,42,G13000109502001063,13001,950200,1063,130019502001063,13000109502001063, , ,06016
15,1,218,42,G13000109502001067,13001,950200,1067,130019502001067,13000109502001067, , ,06016
16,1,220,42,G13000109502001069,13001,950200,1069,130019502001069,13000109502001069, , ,06016
17,1,222,42,G13000109502001071,13001,950200,1071,130019502001071,13000109502001071, , ,06016
18,1,224,42,G13000109502001073,13001,950200,1073,130019502001073,13000109502001073, , ,06016
19,1,227,42,G13000109502001076,13001,950200,1076,130019502001076,13000109502001076, , ,06016
20,1,230,42,G13000109502001079,13001,950200,1079,130019502001079,13000109502001079, , ,06016
21,1,231,42,G13000109502001080,13001,950200,1080,130019502001080,13000109502001080, , ,06016
22,1,233,42,G13000109502001082,13001,950200,1082,130019502001082,13000109502001082, , ,06016
23,1,241,42,G13000109502001090,13001,950200,1090,130019502001090,13000109502001090, , ,06016
24,1,248,42,G13000109502001097,13001,950200,1097,130019502001097,13000109502001097, , ,06016
25,1,249,42,G13000109502001098,13001,950200,1098,130019502001098,13000109502001098, , ,06016
26,1,252,42,G13000109502001101,13001,950200,1101,130019502001101,13000109502001101, , ,06016
27,1,259,42,G13000109502001108,13001,950200,1108,130019502001108,13000109502001108, , ,06016
28,1,262,42,G13000109502001111,13001,950200,1111,130019502001111,13000109502001111, , ,06016
29,1,263,42,G13000109502001112,13001,950200,1112,130019502001112,13000109502001112, , ,06016
30,1,275,42,G13000109502001124,13001,950200,1124,130019502001124,13000109502001124, , ,06016
31,1,277,42,G13000109502001126,13001,950200,1126,130019502001126,13000109502001126, , ,06016
32,1,278,42,G13000109502001127,13001,950200,1127,130019502001127,13000109502001127, , ,06016
33,1,285,42,G13000109502001134,13001,950200,1134,130019502001134,13000109502001134, , ,06016
34,1,287,42,G13000109502001136,13001,950200,1136,130019502001136,13000109502001136, , ,06016
35,1,289,42,G13000109502001138,13001,950200,1138,130019502001138,13000109502001138, , ,06016
36,1,295,42,G13000109502001144,13001,950200,1144,130019502001144,13000109502001144, , ,06016
37,1,311,42,G13000109502002011,13001,950200,2011,130019502002011,13000109502002011, , ,06016
38,1,313,42,G13000109502002013,13001,950200,2013,130019502002013,13000109502002013, , ,06016
39,1,315,42,G13000109502002015,13001,950200,2015,130019502002015,13000109502002015, , ,06016
40,1,316,42,G13000109502002016,13001,950200,2016,130019502002016,13000109502002016, , ,06016
