FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,337,88,G21000109704001033,21001,970400,1033,210019704001033,21000109704001033, , ,16750
1,1,345,88,G21000109704001041,21001,970400,1041,210019704001041,21000109704001041, , ,16750
2,1,353,88,G21000109704001049,21001,970400,1049,210019704001049,21000109704001049, , ,16750
3,1,356,88,G21000109704001052,21001,970400,1052,210019704001052,21000109704001052, , ,16750
4,1,367,88,G21000109704001063,21001,970400,1063,210019704001063,21000109704001063, , ,16750
5,1,372,88,G21000109704001068,21001,970400,1068,210019704001068,21000109704001068, , ,16750
6,1,390,88,G21000109704002000,21001,970400,2000,210019704002000,21000109704002000, , ,16750
7,1,394,88,G21000109704002004,21001,970400,2004,210019704002004,21000109704002004, , ,16750
8,1,407,88,G21000109704002017,21001,970400,2017,210019704002017,21000109704002017, , ,16750
9,1,444,88,G21000109704003014,21001,970400,3014,210019704003014,21000109704003014, , ,16750
10,1,446,88,G21000109704003016,21001,970400,3016,210019704003016,21000109704003016, , ,16750
11,1,449,88,G21000109704003019,21001,970400,3019,210019704003019,21000109704003019, , ,16750
12,1,456,88,G21000109704003026,21001,970400,3026,210019704003026,21000109704003026, , ,16750
13,1,536,88,G21000109704005034,21001,970400,5034,210019704005034,21000109704005034, , ,16750
14,1,537,88,G21000109704005035,21001,970400,5035,210019704005035,21000109704005035, , ,16750
15,1,539,88,G21000109704006000,21001,970400,6000,210019704006000,21000109704006000, , ,16750
16,1,543,88,G21000109704006004,21001,970400,6004,210019704006004,21000109704006004, , ,16750
17,1,548,88,G21000109704006009,21001,970400,6009,210019704006009,21000109704006009, , ,16750
18,1,549,88,G21000109704006010,21001,970400,6010,210019704006010,21000109704006010, , ,16750
19,1,585,88,G21000109704006046,21001,970400,6046,210019704006046,21000109704006046, , ,16750
20,1,1046,377,G21000309803001011,21003,980300,1011,210039803001011,21000309803001011, , ,69114
21,1,1095,377,G21000309803002016,21003,980300,2016,210039803002016,21000309803002016, , ,69114
22,1,1127,377,G21000309803003015,21003,980300,3015,210039803003015,21000309803003015, , ,69114
23,1,1128,377,G21000309803003016,21003,980300,3016,210039803003016,21000309803003016, , ,69114
24,1,1129,377,G21000309803003017,21003,980300,3017,210039803003017,21000309803003017, , ,69114
25,1,1130,377,G21000309803003018,21003,980300,3018,210039803003018,21000309803003018, , ,69114
26,1,1133,377,G21000309803003021,21003,980300,3021,210039803003021,21000309803003021, , ,69114
27,1,1134,377,G21000309803003022,21003,980300,3022,210039803003022,21000309803003022, , ,69114
28,1,1135,377,G21000309803003023,21003,980300,3023,210039803003023,21000309803003023, , ,69114
29,1,1140,377,G21000309803003028,21003,980300,3028,210039803003028,21000309803003028, , ,69114
30,1,1141,377,G21000309803003029,21003,980300,3029,210039803003029,21000309803003029, , ,69114
31,1,1148,377,G21000309803003036,21003,980300,3036,210039803003036,21000309803003036, , ,69114
32,1,1149,377,G21000309803003037,21003,980300,3037,210039803003037,21000309803003037, , ,69114
33,1,1150,377,G21000309803003038,21003,980300,3038,210039803003038,21000309803003038, , ,69114
34,1,1154,377,G21000309803003042,21003,980300,3042,210039803003042,21000309803003042, , ,69114
35,1,1170,377,G21000309803004007,21003,980300,4007,210039803004007,21000309803004007, , ,69114
36,1,1175,377,G21000309803004012,21003,980300,4012,210039803004012,21000309803004012, , ,69114
37,1,1176,377,G21000309803004013,21003,980300,4013,210039803004013,21000309803004013, , ,69114
38,1,1184,377,G21000309803004021,21003,980300,4021,210039803004021,21000309803004021, , ,69114
39,1,1185,377,G21000309803004022,21003,980300,4022,210039803004022,21000309803004022, , ,69114
40,1,1190,377,G21000309803004027,21003,980300,4027,210039803004027,21000309803004027, , ,69114
41,1,1259,377,G21000309804002002,21003,980400,2002,210039804002002,21000309804002002, , ,69114
42,1,1260,377,G21000309804002003,21003,980400,2003,210039804002003,21000309804002003, , ,69114
43,1,1272,377,G21000309804002015,21003,980400,2015,210039804002015,21000309804002015, , ,69114
44,1,1274,377,G21000309804002017,21003,980400,2017,210039804002017,21000309804002017, , ,69114
45,1,1275,377,G21000309804002018,21003,980400,2018,210039804002018,21000309804002018, , ,69114
46,1,1297,377,G21000309804003018,21003,980400,3018,210039804003018,21000309804003018, , ,69114
47,1,1327,377,G21000309804004015,21003,980400,4015,210039804004015,21000309804004015, , ,69114
48,1,1344,377,G21000309804004032,21003,980400,4032,210039804004032,21000309804004032, , ,69114
49,1,1346,377,G21000309804004034,21003,980400,4034,210039804004034,21000309804004034, , ,69114
50,1,1349,377,G21000309804004037,21003,980400,4037,210039804004037,21000309804004037, , ,69114
51,1,1350,377,G21000309804004038,21003,980400,4038,210039804004038,21000309804004038, , ,69114
52,1,1351,377,G21000309804004039,21003,980400,4039,210039804004039,21000309804004039, , ,69114
53,1,1595,233,G21000509501001018,21005,950100,1018,210059501001018,21000509501001018, , ,44146
