FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,4,67,G22000109601001004,22001,960100,1004,220019601001004,22000109601001004, , ,15465
1,1,9,67,G22000109601001009,22001,960100,1009,220019601001009,22000109601001009, , ,15465
2,1,17,67,G22000109601001017,22001,960100,1017,220019601001017,22000109601001017, , ,15465
3,1,52,67,G22000109601002015,22001,960100,2015,220019601002015,22000109601002015, , ,15465
4,1,62,67,G22000109601002025,22001,960100,2025,220019601002025,22000109601002025, , ,15465
5,1,65,67,G22000109601002028,22001,960100,2028,220019601002028,22000109601002028, , ,15465
6,1,66,67,G22000109601002029,22001,960100,2029,220019601002029,22000109601002029, , ,15465
7,1,91,67,G22000109601003019,22001,960100,3019,220019601003019,22000109601003019, , ,15465
8,1,92,67,G22000109601003020,22001,960100,3020,220019601003020,22000109601003020, , ,15465
9,1,94,67,G22000109601003022,22001,960100,3022,220019601003022,22000109601003022, , ,15465
10,1,95,67,G22000109601003023,22001,960100,3023,220019601003023,22000109601003023, , ,15465
11,1,96,67,G22000109601003024,22001,960100,3024,220019601003024,22000109601003024, , ,15465
12,1,97,67,G22000109601003025,22001,960100,3025,220019601003025,22000109601003025, , ,15465
13,1,103,67,G22000109601003031,22001,960100,3031,220019601003031,22000109601003031, , ,15465
14,1,104,67,G22000109601003032,22001,960100,3032,220019601003032,22000109601003032, , ,15465
15,1,109,67,G22000109601004000,22001,960100,4000,220019601004000,22000109601004000, , ,15465
16,1,135,67,G22000109601004026,22001,960100,4026,220019601004026,22000109601004026, , ,15465
17,1,143,67,G22000109601004034,22001,960100,4034,220019601004034,22000109601004034, , ,15465
18,1,148,67,G22000109601005001,22001,960100,5001,220019601005001,22000109601005001, , ,15465
19,1,152,67,G22000109601005005,22001,960100,5005,220019601005005,22000109601005005, , ,15465
20,1,188,67,G22000109601005041,22001,960100,5041,220019601005041,22000109601005041, , ,15465
21,1,208,117,G22000109602001016,22001,960200,1016,220019602001016,22000109602001016, , ,24565
22,1,249,117,G22000109602001057,22001,960200,1057,220019602001057,22000109602001057, , ,24565
23,1,278,117,G22000109602002000,22001,960200,2000,220019602002000,22000109602002000, , ,24565
24,1,279,117,G22000109602002001,22001,960200,2001,220019602002001,22000109602002001, , ,24565
25,1,281,117,G22000109602002003,22001,960200,2003,220019602002003,22000109602002003, , ,24565
26,1,288,117,G22000109602002010,22001,960200,2010,220019602002010,22000109602002010, , ,24565
27,1,300,117,G22000109602002022,22001,960200,2022,220019602002022,22000109602002022, , ,24565
28,1,317,117,G22000109602002039,22001,960200,2039,220019602002039,22000109602002039, , ,24565
29,1,421,21,G22000109603001008,22001,960300,1008,220019603001008,22000109603001008, , ,04580
30,1,422,21,G22000109603001009,22001,960300,1009,220019603001009,22000109603001009, , ,04580
31,1,428,21,G22000109603001015,22001,960300,1015,220019603001015,22000109603001015, , ,04580
32,1,431,21,G22000109603001018,22001,960300,1018,220019603001018,22000109603001018, , ,04580
33,1,433,21,G22000109603001020,22001,960300,1020,220019603001020,22000109603001020, , ,04580
34,1,504,184,G22000109603003009,22001,960300,3009,220019603003009,22000109603003009, , ,38355
35,1,513,238,G22000109603003999,22001,960300,3999,220019603003999,22000109603003999, , ,49870
36,1,617,176,G22000109604002000,22001,960400,2000,220019604002000,22000109604002000, , ,37410
37,1,619,176,G22000109604002002,22001,960400,2002,220019604002002,22000109604002002, , ,37410
38,1,645,176,G22000109604002028,22001,960400,2028,220019604002028,22000109604002028, , ,37410
39,1,646,176,G22000109604002029,22001,960400,2029,220019604002029,22000109604002029, , ,37410
40,1,647,176,G22000109604002030,22001,960400,2030,220019604002030,22000109604002030, , ,37410
41,1,683,176,G22000109604002066,22001,960400,2066,220019604002066,22000109604002066, , ,37410
42,1,684,176,G22000109604002067,22001,960400,2067,220019604002067,22000109604002067, , ,37410
43,1,709,176,G22000109604002092,22001,960400,2092,220019604002092,22000109604002092, , ,37410
44,1,710,176,G22000109604002093,22001,960400,2093,220019604002093,22000109604002093, , ,37410
45,1,713,176,G22000109604002096,22001,960400,2096,220019604002096,22000109604002096, , ,37410
46,1,731,176,G22000109604003016,22001,960400,3016,220019604003016,22000109604003016, , ,37410
47,1,734,176,G22000109604003019,22001,960400,3019,220019604003019,22000109604003019, , ,37410
48,1,1022,102,G22000109606001000,22001,960600,1000,220019606001000,22000109606001000, , ,22255
49,1,1024,102,G22000109606001002,22001,960600,1002,220019606001002,22000109606001002, , ,22255
50,1,1028,102,G22000109606001006,22001,960600,1006,220019606001006,22000109606001006, , ,22255
51,1,1029,102,G22000109606001007,22001,960600,1007,220019606001007,22000109606001007, , ,22255
52,1,1034,102,G22000109606001012,22001,960600,1012,220019606001012,22000109606001012, , ,22255
53,1,1035,102,G22000109606001013,22001,960600,1013,220019606001013,22000109606001013, , ,22255
54,1,1037,102,G22000109606001015,22001,960600,1015,220019606001015,22000109606001015, , ,22255
55,1,1040,102,G22000109606001018,22001,960600,1018,220019606001018,22000109606001018, , ,22255
56,1,1042,102,G22000109606001020,22001,960600,1020,220019606001020,22000109606001020, , ,22255
57,1,1048,309,G22000109606001026,22001,960600,1026,220019606001026,22000109606001026, , ,63645
58,1,1049,309,G22000109606001027,22001,960600,1027,220019606001027,22000109606001027, , ,63645
59,1,1052,309,G22000109606001030,22001,960600,1030,220019606001030,22000109606001030, , ,63645
