FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,607,92,G24000100003001001,24001,000300,1001,240010003001001,24000100003001001, , ,21325
1,1,608,92,G24000100003001002,24001,000300,1002,240010003001002,24000100003001002, , ,21325
2,1,611,92,G24000100003001005,24001,000300,1005,240010003001005,24000100003001005, , ,21325
3,1,614,92,G24000100003001008,24001,000300,1008,240010003001008,24000100003001008, , ,21325
4,1,619,92,G24000100003001013,24001,000300,1013,240010003001013,24000100003001013, , ,21325
5,1,626,92,G24000100003001020,24001,000300,1020,240010003001020,24000100003001020, , ,21325
6,1,627,92,G24000100003001021,24001,000300,1021,240010003001021,24000100003001021, , ,21325
7,1,630,92,G24000100003001024,24001,000300,1024,240010003001024,24000100003001024, , ,21325
8,1,641,92,G24000100003001035,24001,000300,1035,240010003001035,24000100003001035, , ,21325
9,1,643,92,G24000100003001037,24001,000300,1037,240010003001037,24000100003001037, , ,21325
10,1,644,203,G24000100003001038,24001,000300,1038,240010003001038,24000100003001038, , ,46075
11,1,645,203,G24000100003001039,24001,000300,1039,240010003001039,24000100003001039, , ,46075
12,1,646,92,G24000100003001040,24001,000300,1040,240010003001040,24000100003001040, , ,21325
13,1,650,92,G24000100003001044,24001,000300,1044,240010003001044,24000100003001044, , ,21325
14,1,651,92,G24000100003001045,24001,000300,1045,240010003001045,24000100003001045, , ,21325
15,1,653,92,G24000100003002000,24001,000300,2000,240010003002000,24000100003002000, , ,21325
16,1,662,92,G24000100003002009,24001,000300,2009,240010003002009,24000100003002009, , ,21325
17,1,701,92,G24000100004002001,24001,000400,2001,240010004002001,24000100004002001, , ,21325
18,1,702,92,G24000100004002002,24001,000400,2002,240010004002002,24000100004002002, , ,21325
19,1,703,92,G24000100004002003,24001,000400,2003,240010004002003,24000100004002003, , ,21325
20,1,704,92,G24000100004002004,24001,000400,2004,240010004002004,24000100004002004, , ,21325
21,1,739,92,G24000100004003006,24001,000400,3006,240010004003006,24000100004003006, , ,21325
22,1,767,92,G24000100005001013,24001,000500,1013,240010005001013,24000100005001013, , ,21325
23,1,775,92,G24000100005001021,24001,000500,1021,240010005001021,24000100005001021, , ,21325
24,1,776,92,G24000100005001022,24001,000500,1022,240010005001022,24000100005001022, , ,21325
25,1,778,92,G24000100005001024,24001,000500,1024,240010005001024,24000100005001024, , ,21325
26,1,779,92,G24000100005001025,24001,000500,1025,240010005001025,24000100005001025, , ,21325
27,1,783,92,G24000100005001029,24001,000500,1029,240010005001029,24000100005001029, , ,21325
