FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,165,195,G28000100001002023,28001,000100,2023,280010001002023,28000100001002023, , ,50440
1,1,166,195,G28000100001002024,28001,000100,2024,280010001002024,28000100001002024, , ,50440
2,1,176,195,G28000100001002034,28001,000100,2034,280010001002034,28000100001002034, , ,50440
3,1,177,195,G28000100001002035,28001,000100,2035,280010001002035,28000100001002035, , ,50440
4,1,182,195,G28000100001002040,28001,000100,2040,280010001002040,28000100001002040, , ,50440
5,1,211,195,G28000100001003000,28001,000100,3000,280010001003000,28000100001003000, , ,50440
6,1,215,195,G28000100001003004,28001,000100,3004,280010001003004,28000100001003004, , ,50440
7,1,218,195,G28000100001003007,28001,000100,3007,280010001003007,28000100001003007, , ,50440
8,1,228,195,G28000100001003017,28001,000100,3017,280010001003017,28000100001003017, , ,50440
9,1,385,195,G28000100002001015,28001,000200,1015,280010002001015,28000100002001015, , ,50440
10,1,387,195,G28000100002001017,28001,000200,1017,280010002001017,28000100002001017, , ,50440
11,1,388,195,G28000100002001018,28001,000200,1018,280010002001018,28000100002001018, , ,50440
12,1,389,195,G28000100002001019,28001,000200,1019,280010002001019,28000100002001019, , ,50440
13,1,390,195,G28000100002001020,28001,000200,1020,280010002001020,28000100002001020, , ,50440
14,1,399,195,G28000100002001029,28001,000200,1029,280010002001029,28000100002001029, , ,50440
15,1,400,195,G28000100002001030,28001,000200,1030,280010002001030,28000100002001030, , ,50440
16,1,401,195,G28000100002001031,28001,000200,1031,280010002001031,28000100002001031, , ,50440
17,1,430,195,G28000100002002028,28001,000200,2028,280010002002028,28000100002002028, , ,50440
18,1,431,195,G28000100002002029,28001,000200,2029,280010002002029,28000100002002029, , ,50440
19,1,432,195,G28000100002002030,28001,000200,2030,280010002002030,28000100002002030, , ,50440
20,1,433,195,G28000100002002031,28001,000200,2031,280010002002031,28000100002002031, , ,50440
21,1,448,195,G28000100002002998,28001,000200,2998,280010002002998,28000100002002998, , ,50440
22,1,667,195,G28000100005001001,28001,000500,1001,280010005001001,28000100005001001, , ,50440
23,1,668,195,G28000100005001002,28001,000500,1002,280010005001002,28000100005001002, , ,50440
24,1,670,195,G28000100005001004,28001,000500,1004,280010005001004,28000100005001004, , ,50440
25,1,674,195,G28000100005001008,28001,000500,1008,280010005001008,28000100005001008, , ,50440
26,1,675,195,G28000100005001009,28001,000500,1009,280010005001009,28000100005001009, , ,50440
27,1,694,195,G28000100005002011,28001,000500,2011,280010005002011,28000100005002011, , ,50440
28,1,698,195,G28000100005002015,28001,000500,2015,280010005002015,28000100005002015, , ,50440
29,1,715,195,G28000100005004000,28001,000500,4000,280010005004000,28000100005004000, , ,50440
30,1,718,195,G28000100005004003,28001,000500,4003,280010005004003,28000100005004003, , ,50440
31,1,730,195,G28000100005005004,28001,000500,5004,280010005005004,28000100005005004, , ,50440
32,1,967,195,G28000100008001011,28001,000800,1011,280010008001011,28000100008001011, , ,50440
33,1,969,195,G28000100008001013,28001,000800,1013,280010008001013,28000100008001013, , ,50440
