FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,306,79,G37000100203001000,37001,020300,1000,370010203001000,37000100203001000, , ,09060
1,1,309,79,G37000100203001003,37001,020300,1003,370010203001003,37000100203001003, , ,09060
2,1,311,79,G37000100203001005,37001,020300,1005,370010203001005,37000100203001005, , ,09060
3,1,316,79,G37000100203001010,37001,020300,1010,370010203001010,37000100203001010, , ,09060
4,1,317,79,G37000100203001011,37001,020300,1011,370010203001011,37000100203001011, , ,09060
5,1,321,79,G37000100203001015,37001,020300,1015,370010203001015,37000100203001015, , ,09060
6,1,322,79,G37000100203001999,37001,020300,1999,370010203001999,37000100203001999, , ,09060
7,1,330,79,G37000100203002007,37001,020300,2007,370010203002007,37000100203002007, , ,09060
8,1,401,79,G37000100203004998,37001,020300,4998,370010203004998,37000100203004998, , ,09060
9,1,402,79,G37000100203004999,37001,020300,4999,370010203004999,37000100203004999, , ,09060
10,1,405,79,G37000100203005002,37001,020300,5002,370010203005002,37000100203005002, , ,09060
11,1,405,247,G37000100203005002,37001,020300,5002,370010203005002,37000100203005002, , ,30260
12,1,414,79,G37000100203005011,37001,020300,5011,370010203005011,37000100203005011, , ,09060
13,1,414,247,G37000100203005011,37001,020300,5011,370010203005011,37000100203005011, , ,30260
14,1,416,79,G37000100203005013,37001,020300,5013,370010203005013,37000100203005013, , ,09060
15,1,416,247,G37000100203005013,37001,020300,5013,370010203005013,37000100203005013, , ,30260
16,1,417,247,G37000100203005014,37001,020300,5014,370010203005014,37000100203005014, , ,30260
17,1,429,79,G37000100203005026,37001,020300,5026,370010203005026,37000100203005026, , ,09060
18,1,429,225,G37000100203005026,37001,020300,5026,370010203005026,37000100203005026, , ,27280
19,1,429,247,G37000100203005026,37001,020300,5026,370010203005026,37000100203005026, , ,30260
20,1,433,79,G37000100203005030,37001,020300,5030,370010203005030,37000100203005030, , ,09060
21,1,433,225,G37000100203005030,37001,020300,5030,370010203005030,37000100203005030, , ,27280
22,1,434,79,G37000100203005031,37001,020300,5031,370010203005031,37000100203005031, , ,09060
23,1,434,225,G37000100203005031,37001,020300,5031,370010203005031,37000100203005031, , ,27280
24,1,443,225,G37000100203005040,37001,020300,5040,370010203005040,37000100203005040, , ,27280
25,1,443,247,G37000100203005040,37001,020300,5040,370010203005040,37000100203005040, , ,30260
26,1,462,79,G37000100203005997,37001,020300,5997,370010203005997,37000100203005997, , ,09060
27,1,462,247,G37000100203005997,37001,020300,5997,370010203005997,37000100203005997, , ,30260
28,1,465,220,G37000100204001000,37001,020400,1000,370010204001000,37000100204001000, , ,26460
29,1,471,220,G37000100204001997,37001,020400,1997,370010204001997,37000100204001997, , ,26460
30,1,472,220,G37000100204001998,37001,020400,1998,370010204001998,37000100204001998, , ,26460
31,1,474,79,G37000100204002000,37001,020400,2000,370010204002000,37000100204002000, , ,09060
32,1,474,220,G37000100204002000,37001,020400,2000,370010204002000,37000100204002000, , ,26460
33,1,475,79,G37000100204002001,37001,020400,2001,370010204002001,37000100204002001, , ,09060
34,1,475,220,G37000100204002001,37001,020400,2001,370010204002001,37000100204002001, , ,26460
35,1,476,79,G37000100204002002,37001,020400,2002,370010204002002,37000100204002002, , ,09060
36,1,476,220,G37000100204002002,37001,020400,2002,370010204002002,37000100204002002, , ,26460
37,1,483,79,G37000100204002009,37001,020400,2009,370010204002009,37000100204002009, , ,09060
38,1,497,79,G37000100204003002,37001,020400,3002,370010204003002,37000100204003002, , ,09060
39,1,498,79,G37000100204003003,37001,020400,3003,370010204003003,37000100204003003, , ,09060
40,1,581,220,G37000100205001002,37001,020500,1002,370010205001002,37000100205001002, , ,26460
41,1,582,79,G37000100205001003,37001,020500,1003,370010205001003,37000100205001003, , ,09060
42,1,582,220,G37000100205001003,37001,020500,1003,370010205001003,37000100205001003, , ,26460
43,1,583,79,G37000100205001004,37001,020500,1004,370010205001004,37000100205001004, , ,09060
44,1,583,220,G37000100205001004,37001,020500,1004,370010205001004,37000100205001004, , ,26460
45,1,601,79,G37000100205001022,37001,020500,1022,370010205001022,37000100205001022, , ,09060
46,1,611,79,G37000100205001032,37001,020500,1032,370010205001032,37000100205001032, , ,09060
47,1,612,79,G37000100205001033,37001,020500,1033,370010205001033,37000100205001033, , ,09060
48,1,613,79,G37000100205001034,37001,020500,1034,370010205001034,37000100205001034, , ,09060
49,1,614,79,G37000100205001035,37001,020500,1035,370010205001035,37000100205001035, , ,09060
50,1,619,79,G37000100205001040,37001,020500,1040,370010205001040,37000100205001040, , ,09060
51,1,853,79,G37000100206004012,37001,020600,4012,370010206004012,37000100206004012, , ,09060
52,1,853,171,G37000100206004012,37001,020600,4012,370010206004012,37000100206004012, , ,21100
53,1,1087,79,G37000100207005020,37001,020700,5020,370010207005020,37000100207005020, , ,09060
54,1,1090,79,G37000100207005023,37001,020700,5023,370010207005023,37000100207005023, , ,09060
55,1,1094,79,G37000100207005027,37001,020700,5027,370010207005027,37000100207005027, , ,09060
56,1,1095,79,G37000100207005028,37001,020700,5028,370010207005028,37000100207005028, , ,09060
57,1,1102,79,G37000100207005035,37001,020700,5035,370010207005035,37000100207005035, , ,09060
58,1,1103,79,G37000100207005036,37001,020700,5036,370010207005036,37000100207005036, , ,09060
59,1,1106,79,G37000100207005039,37001,020700,5039,370010207005039,37000100207005039, , ,09060
60,1,1109,79,G37000100207005042,37001,020700,5042,370010207005042,37000100207005042, , ,09060
61,1,1110,79,G37000100207005043,37001,020700,5043,370010207005043,37000100207005043, , ,09060
62,1,1112,79,G37000100207005045,37001,020700,5045,370010207005045,37000100207005045, , ,09060
63,1,1114,79,G37000100207005047,37001,020700,5047,370010207005047,37000100207005047, , ,09060
64,1,1272,79,G37000100208007022,37001,020800,7022,370010208007022,37000100208007022, , ,09060
65,1,1273,79,G37000100208007023,37001,020800,7023,370010208007023,37000100208007023, , ,09060
66,1,1274,79,G37000100208007024,37001,020800,7024,370010208007024,37000100208007024, , ,09060
67,1,1280,79,G37000100208007030,37001,020800,7030,370010208007030,37000100208007030, , ,09060
68,1,1287,2,G37000100208007998,37001,020800,7998,370010208007998,37000100208007998, , ,00640
69,1,1354,225,G37000100209002027,37001,020900,2027,370010209002027,37000100209002027, , ,27280
70,1,1361,225,G37000100209002034,37001,020900,2034,370010209002034,37000100209002034, , ,27280
71,1,1362,225,G37000100209002035,37001,020900,2035,370010209002035,37000100209002035, , ,27280
72,1,1366,79,G37000100209003003,37001,020900,3003,370010209003003,37000100209003003, , ,09060
73,1,1366,225,G37000100209003003,37001,020900,3003,370010209003003,37000100209003003, , ,27280
74,1,1367,79,G37000100209003004,37001,020900,3004,370010209003004,37000100209003004, , ,09060
75,1,1367,225,G37000100209003004,37001,020900,3004,370010209003004,37000100209003004, , ,27280
76,1,1371,79,G37000100209003008,37001,020900,3008,370010209003008,37000100209003008, , ,09060
77,1,1371,225,G37000100209003008,37001,020900,3008,370010209003008,37000100209003008, , ,27280
78,1,1376,225,G37000100209003013,37001,020900,3013,370010209003013,37000100209003013, , ,27280
79,1,1377,225,G37000100209003014,37001,020900,3014,370010209003014,37000100209003014, , ,27280
80,1,1381,225,G37000100209003018,37001,020900,3018,370010209003018,37000100209003018, , ,27280
81,1,1389,225,G37000100209003026,37001,020900,3026,370010209003026,37000100209003026, , ,27280
82,1,1394,225,G37000100209003031,37001,020900,3031,370010209003031,37000100209003031, , ,27280
83,1,1398,225,G37000100209003035,37001,020900,3035,370010209003035,37000100209003035, , ,27280
84,1,1514,247,G37000100211001001,37001,021100,1001,370010211001001,37000100211001001, , ,30260
85,1,1515,225,G37000100211001002,37001,021100,1002,370010211001002,37000100211001002, , ,27280
86,1,1515,247,G37000100211001002,37001,021100,1002,370010211001002,37000100211001002, , ,30260
87,1,1518,225,G37000100211001005,37001,021100,1005,370010211001005,37000100211001005, , ,27280
88,1,1519,225,G37000100211001006,37001,021100,1006,370010211001006,37000100211001006, , ,27280
89,1,1524,225,G37000100211001011,37001,021100,1011,370010211001011,37000100211001011, , ,27280
