FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,110,286,G38000109656001110,38001,965600,1110,380019656001110,38000109656001110, , ,65900
1,1,112,286,G38000109656001112,38001,965600,1112,380019656001112,38000109656001112, , ,65900
2,1,113,286,G38000109656001113,38001,965600,1113,380019656001113,38000109656001113, , ,65900
3,1,142,286,G38000109656001142,38001,965600,1142,380019656001142,38000109656001142, , ,65900
4,1,144,286,G38000109656001144,38001,965600,1144,380019656001144,38000109656001144, , ,65900
5,1,168,286,G38000109656001168,38001,965600,1168,380019656001168,38000109656001168, , ,65900
6,1,169,286,G38000109656001169,38001,965600,1169,380019656001169,38000109656001169, , ,65900
7,1,173,286,G38000109656001173,38001,965600,1173,380019656001173,38000109656001173, , ,65900
8,1,176,286,G38000109656001176,38001,965600,1176,380019656001176,38000109656001176, , ,65900
9,1,178,286,G38000109656001178,38001,965600,1178,380019656001178,38000109656001178, , ,65900
10,1,192,44,G38000109656001192,38001,965600,1192,380019656001192,38000109656001192, , ,10300
11,1,197,44,G38000109656001197,38001,965600,1197,380019656001197,38000109656001197, , ,10300
12,1,201,44,G38000109656001201,38001,965600,1201,380019656001201,38000109656001201, , ,10300
13,1,202,44,G38000109656001202,38001,965600,1202,380019656001202,38000109656001202, , ,10300
14,1,210,44,G38000109656001210,38001,965600,1210,380019656001210,38000109656001210, , ,10300
15,1,239,286,G38000109656001239,38001,965600,1239,380019656001239,38000109656001239, , ,65900
16,1,244,286,G38000109656001244,38001,965600,1244,380019656001244,38000109656001244, , ,65900
17,1,245,286,G38000109656001245,38001,965600,1245,380019656001245,38000109656001245, , ,65900
18,1,628,162,G38000109656002310,38001,965600,2310,380019656002310,38000109656002310, , ,36540
19,1,637,162,G38000109656002319,38001,965600,2319,380019656002319,38000109656002319, , ,36540
20,1,646,162,G38000109656002328,38001,965600,2328,380019656002328,38000109656002328, , ,36540
21,1,647,162,G38000109656002329,38001,965600,2329,380019656002329,38000109656002329, , ,36540
22,1,655,162,G38000109656002337,38001,965600,2337,380019656002337,38000109656002337, , ,36540
23,1,751,166,G38000109656003002,38001,965600,3002,380019656003002,38000109656003002, , ,37700
24,1,756,166,G38000109656003007,38001,965600,3007,380019656003007,38000109656003007, , ,37700
25,1,784,166,G38000109656003035,38001,965600,3035,380019656003035,38000109656003035, , ,37700
26,1,787,166,G38000109656003038,38001,965600,3038,380019656003038,38000109656003038, , ,37700
27,1,803,166,G38000109656003054,38001,965600,3054,380019656003054,38000109656003054, , ,37700
28,1,805,166,G38000109656004000,38001,965600,4000,380019656004000,38000109656004000, , ,37700
29,1,806,166,G38000109656004001,38001,965600,4001,380019656004001,38000109656004001, , ,37700
30,1,837,166,G38000109656004032,38001,965600,4032,380019656004032,38000109656004032, , ,37700
31,1,863,166,G38000109656004058,38001,965600,4058,380019656004058,38000109656004058, , ,37700
