FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,11,138,G45000109501001011,45001,950100,1011,450019501001011,45000109501001011, , ,34810
1,1,25,138,G45000109501001025,45001,950100,1025,450019501001025,45000109501001025, , ,34810
2,1,26,138,G45000109501001026,45001,950100,1026,450019501001026,45000109501001026, , ,34810
3,1,30,138,G45000109501001030,45001,950100,1030,450019501001030,45000109501001030, , ,34810
4,1,43,138,G45000109501001043,45001,950100,1043,450019501001043,45000109501001043, , ,34810
5,1,81,344,G45000109501002003,45001,950100,2003,450019501002003,45000109501002003, , ,74680
6,1,101,344,G45000109501002023,45001,950100,2023,450019501002023,45000109501002023, , ,74680
7,1,106,344,G45000109501002028,45001,950100,2028,450019501002028,45000109501002028, , ,74680
8,1,116,344,G45000109501002999,45001,950100,2999,450019501002999,45000109501002999, , ,74680
9,1,119,77,G45000109501003002,45001,950100,3002,450019501003002,45000109501003002, , ,19870
10,1,121,77,G45000109501003004,45001,950100,3004,450019501003004,45000109501003004, , ,19870
11,1,124,77,G45000109501003007,45001,950100,3007,450019501003007,45000109501003007, , ,19870
12,1,125,77,G45000109501003008,45001,950100,3008,450019501003008,45000109501003008, , ,19870
13,1,141,77,G45000109501003024,45001,950100,3024,450019501003024,45000109501003024, , ,19870
14,1,143,77,G45000109501003026,45001,950100,3026,450019501003026,45000109501003026, , ,19870
15,1,144,77,G45000109501003027,45001,950100,3027,450019501003027,45000109501003027, , ,19870
16,1,216,77,G45000109502002002,45001,950200,2002,450019502002002,45000109502002002, , ,19870
17,1,216,78,G45000109502002002,45001,950200,2002,450019502002002,45000109502002002, , ,21040
18,1,217,77,G45000109502002003,45001,950200,2003,450019502002003,45000109502002003, , ,19870
19,1,221,78,G45000109502002007,45001,950200,2007,450019502002007,45000109502002007, , ,21040
20,1,225,78,G45000109502002011,45001,950200,2011,450019502002011,45000109502002011, , ,21040
21,1,231,78,G45000109502002017,45001,950200,2017,450019502002017,45000109502002017, , ,21040
22,1,232,78,G45000109502002018,45001,950200,2018,450019502002018,45000109502002018, , ,21040
23,1,244,78,G45000109502002030,45001,950200,2030,450019502002030,45000109502002030, , ,21040
24,1,245,78,G45000109502002031,45001,950200,2031,450019502002031,45000109502002031, , ,21040
25,1,271,78,G45000109502002057,45001,950200,2057,450019502002057,45000109502002057, , ,21040
26,1,277,78,G45000109502002063,45001,950200,2063,450019502002063,45000109502002063, , ,21040
