FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,67,19,G46000309736001067,46003,973600,1067,460039736001067,46000309736001067, , ,02860
1,1,68,19,G46000309736001068,46003,973600,1068,460039736001068,46000309736001068, , ,02860
2,1,70,19,G46000309736001070,46003,973600,1070,460039736001070,46000309736001070, , ,02860
3,1,73,19,G46000309736001073,46003,973600,1073,460039736001073,46000309736001073, , ,02860
4,1,250,247,G46000309736002010,46003,973600,2010,460039736002010,46000309736002010, , ,50020
5,1,251,247,G46000309736002011,46003,973600,2011,460039736002011,46000309736002011, , ,50020
6,1,258,247,G46000309736002018,46003,973600,2018,460039736002018,46000309736002018, , ,50020
7,1,286,247,G46000309736002046,46003,973600,2046,460039736002046,46000309736002046, , ,50020
8,1,288,247,G46000309736002048,46003,973600,2048,460039736002048,46000309736002048, , ,50020
9,1,289,247,G46000309736002049,46003,973600,2049,460039736002049,46000309736002049, , ,50020
10,1,299,247,G46000309736002059,46003,973600,2059,460039736002059,46000309736002059, , ,50020
11,1,319,247,G46000309736002079,46003,973600,2079,460039736002079,46000309736002079, , ,50020
12,1,321,247,G46000309736002081,46003,973600,2081,460039736002081,46000309736002081, , ,50020
13,1,338,247,G46000309736002098,46003,973600,2098,460039736002098,46000309736002098, , ,50020
14,1,341,247,G46000309736002101,46003,973600,2101,460039736002101,46000309736002101, , ,50020
15,1,413,286,G46000309736003055,46003,973600,3055,460039736003055,46000309736003055, , ,61700
16,1,424,286,G46000309736003066,46003,973600,3066,460039736003066,46000309736003066, , ,61700
17,1,441,286,G46000309736003083,46003,973600,3083,460039736003083,46000309736003083, , ,61700
18,1,456,286,G46000309736003098,46003,973600,3098,460039736003098,46000309736003098, , ,61700
19,1,475,286,G46000309736003117,46003,973600,3117,460039736003117,46000309736003117, , ,61700
20,1,477,286,G46000309736003119,46003,973600,3119,460039736003119,46000309736003119, , ,61700
21,1,540,336,G46000309736004008,46003,973600,4008,460039736004008,46000309736004008, , ,71180
22,1,541,336,G46000309736004009,46003,973600,4009,460039736004009,46000309736004009, , ,71180
23,1,546,336,G46000309736004014,46003,973600,4014,460039736004014,46000309736004014, , ,71180
24,1,564,336,G46000309736004032,46003,973600,4032,460039736004032,46000309736004032, , ,71180
25,1,570,336,G46000309736004038,46003,973600,4038,460039736004038,46000309736004038, , ,71180
26,1,571,336,G46000309736004039,46003,973600,4039,460039736004039,46000309736004039, , ,71180
27,1,578,336,G46000309736004046,46003,973600,4046,460039736004046,46000309736004046, , ,71180
28,1,597,336,G46000309736004065,46003,973600,4065,460039736004065,46000309736004065, , ,71180
29,1,610,336,G46000309736004078,46003,973600,4078,460039736004078,46000309736004078, , ,71180
30,1,616,336,G46000309736004084,46003,973600,4084,460039736004084,46000309736004084, , ,71180
31,1,753,288,G46000309736004221,46003,973600,4221,460039736004221,46000309736004221, , ,61940
32,1,756,288,G46000309736004224,46003,973600,4224,460039736004224,46000309736004224, , ,61940
33,1,1054,348,G46000509566002070,46005,956600,2070,460059566002070,46000509566002070, , ,73020
34,1,1055,348,G46000509566002071,46005,956600,2071,460059566002071,46000509566002071, , ,73020
35,1,1068,348,G46000509566002084,46005,956600,2084,460059566002084,46000509566002084, , ,73020
36,1,1071,348,G46000509566002087,46005,956600,2087,460059566002087,46000509566002087, , ,73020
37,1,1086,348,G46000509566002102,46005,956600,2102,460059566002102,46000509566002102, , ,73020
38,1,1115,58,G46000509566002131,46005,956600,2131,460059566002131,46000509566002131, , ,10620
39,1,1116,58,G46000509566002132,46005,956600,2132,460059566002132,46000509566002132, , ,10620
40,1,1117,58,G46000509566002133,46005,956600,2133,460059566002133,46000509566002133, , ,10620
41,1,1135,160,G46000509566002151,46005,956600,2151,460059566002151,46000509566002151, , ,32020
42,1,1145,58,G46000509566002161,46005,956600,2161,460059566002161,46000509566002161, , ,10620
43,1,1163,58,G46000509566002179,46005,956600,2179,460059566002179,46000509566002179, , ,10620
44,1,1164,58,G46000509566002180,46005,956600,2180,460059566002180,46000509566002180, , ,10620
45,1,1171,58,G46000509566002187,46005,956600,2187,460059566002187,46000509566002187, , ,10620
46,1,1172,58,G46000509566002188,46005,956600,2188,460059566002188,46000509566002188, , ,10620
47,1,1182,160,G46000509566002198,46005,956600,2198,460059566002198,46000509566002198, , ,32020
48,1,1189,160,G46000509566002205,46005,956600,2205,460059566002205,46000509566002205, , ,32020
49,1,1455,148,G46000509567001005,46005,956700,1005,460059567001005,46000509567001005, , ,29500
50,1,1461,148,G46000509567001011,46005,956700,1011,460059567001011,46000509567001011, , ,29500
51,1,1500,148,G46000509567001050,46005,956700,1050,460059567001050,46000509567001050, , ,29500
52,1,1703,42,G46000509567001253,46005,956700,1253,460059567001253,46000509567001253, , ,07420
53,1,1704,42,G46000509567001254,46005,956700,1254,460059567001254,46000509567001254, , ,07420
54,1,1705,42,G46000509567001255,46005,956700,1255,460059567001255,46000509567001255, , ,07420
55,1,1706,42,G46000509567001256,46005,956700,1256,460059567001256,46000509567001256, , ,07420
56,1,1707,42,G46000509567001257,46005,956700,1257,460059567001257,46000509567001257, , ,07420
57,1,1710,42,G46000509567001260,46005,956700,1260,460059567001260,46000509567001260, , ,07420
58,1,1718,42,G46000509567001268,46005,956700,1268,460059567001268,46000509567001268, , ,07420
59,1,1719,42,G46000509567001269,46005,956700,1269,460059567001269,46000509567001269, , ,07420
60,1,1762,42,G46000509567001312,46005,956700,1312,460059567001312,46000509567001312, , ,07420
61,1,1763,42,G46000509567001313,46005,956700,1313,460059567001313,46000509567001313, , ,07420
62,1,1786,329,G46000509567001336,46005,956700,1336,460059567001336,46000509567001336, , ,70140
63,1,1789,329,G46000509567001339,46005,956700,1339,460059567001339,46000509567001339, , ,70140
64,1,1812,329,G46000509567001362,46005,956700,1362,460059567001362,46000509567001362, , ,70140
65,1,1813,329,G46000509567001363,46005,956700,1363,460059567001363,46000509567001363, , ,70140
66,1,1814,329,G46000509567001364,46005,956700,1364,460059567001364,46000509567001364, , ,70140
67,1,1898,343,G46000509567002005,46005,956700,2005,460059567002005,46000509567002005, , ,72540
68,1,1903,343,G46000509567002010,46005,956700,2010,460059567002010,46000509567002010, , ,72540
