FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,156,260,G47000100201003999,47001,020100,3999,470010201003999,47000100201003999,55120,470010201003999,55120
1,1,228,260,G47000100202002053,47001,020200,2053,470010202002053,47000100202002053,55120,470010202002053,55120
2,1,234,260,G47000100202002995,47001,020200,2995,470010202002995,47000100202002995,55120,470010202002995,55120
3,1,237,260,G47000100202002998,47001,020200,2998,470010202002998,47000100202002998,55120,470010202002998,55120
4,1,238,260,G47000100202002999,47001,020200,2999,470010202002999,47000100202002999,55120,470010202002999,55120
5,1,265,260,G47000100202004000,47001,020200,4000,470010202004000,47000100202004000,55120,470010202004000,55120
6,1,266,260,G47000100202004001,47001,020200,4001,470010202004001,47000100202004001,55120,470010202004001,55120
7,1,267,260,G47000100202004002,47001,020200,4002,470010202004002,47000100202004002,55120,470010202004002,55120
8,1,286,260,G47000100202004999,47001,020200,4999,470010202004999,47000100202004999,55120,470010202004999,55120
9,1,308,260,G47000100203002000,47001,020300,2000,470010203002000,47000100203002000,55120,470010203002000,55120
10,1,316,260,G47000100203002008,47001,020300,2008,470010203002008,47000100203002008,55120,470010203002008,55120
11,1,349,260,G47000100204001001,47001,020400,1001,470010204001001,47000100204001001,55120,470010204001001,55120
12,1,355,260,G47000100204001007,47001,020400,1007,470010204001007,47000100204001007,55120,470010204001007,55120
13,1,358,260,G47000100204001010,47001,020400,1010,470010204001010,47000100204001010,55120,470010204001010,55120
14,1,359,260,G47000100204001011,47001,020400,1011,470010204001011,47000100204001011,55120,470010204001011,55120
15,1,459,260,G47000100205002013,47001,020500,2013,470010205002013,47000100205002013,55120,470010205002013,55120
16,1,686,185,G47000100208001003,47001,020800,1003,470010208001003,47000100208001003,40240,470010208001003,40240
17,1,690,185,G47000100208001007,47001,020800,1007,470010208001007,47000100208001007,40240,470010208001007,40240
