FID,Join_Count,TARGET_FID,JOIN_FID,GISJOIN,FIPSSTCO,TRACT2000,BLOCK2000,STFID,GISJOIN2,PLACEA,blockgen,PLACEA_1
0,1,31,65,G51000109901002002,51001,990100,2002,510019901002002,51000109901002002,99999,510019901002002,16512
1,1,32,65,G51000109901002003,51001,990100,2003,510019901002003,51000109901002003,99999,510019901002003,16512
2,1,35,65,G51000109901002006,51001,990100,2006,510019901002006,51000109901002006,99999,510019901002006,16512
3,1,36,65,G51000109901002007,51001,990100,2007,510019901002007,51000109901002007,99999,510019901002007,16512
4,1,39,65,G51000109901002010,51001,990100,2010,510019901002010,51000109901002010,99999,510019901002010,16512
5,1,40,65,G51000109901002011,51001,990100,2011,510019901002011,51000109901002011,99999,510019901002011,16512
6,1,89,65,G51000109901002997,51001,990100,2997,510019901002997,51000109901002997,99999,510019901002997,16512
7,1,90,65,G51000109901002998,51001,990100,2998,510019901002998,51000109901002998,99999,510019901002998,16512
8,1,92,65,G51000109901003000,51001,990100,3000,510019901003000,51000109901003000,99999,510019901003000,16512
9,1,490,65,G51000109902003067,51001,990200,3067,510019902003067,51000109902003067,99999,510019902003067,16512
10,1,518,156,G51000109903001003,51001,990300,1003,510019903001003,51000109903001003,99999,510019903001003,34176
11,1,527,156,G51000109903001012,51001,990300,1012,510019903001012,51000109903001012,99999,510019903001012,34176
12,1,528,156,G51000109903001013,51001,990300,1013,510019903001013,51000109903001013,99999,510019903001013,34176
13,1,529,156,G51000109903001014,51001,990300,1014,510019903001014,51000109903001014,99999,510019903001014,34176
14,1,532,156,G51000109903001017,51001,990300,1017,510019903001017,51000109903001017,99999,510019903001017,34176
15,1,537,156,G51000109903001022,51001,990300,1022,510019903001022,51000109903001022,99999,510019903001022,34176
16,1,548,156,G51000109903001033,51001,990300,1033,510019903001033,51000109903001033,99999,510019903001033,34176
17,1,553,156,G51000109903001038,51001,990300,1038,510019903001038,51000109903001038,99999,510019903001038,34176
18,1,554,156,G51000109903001039,51001,990300,1039,510019903001039,51000109903001039,99999,510019903001039,34176
19,1,562,156,G51000109903001047,51001,990300,1047,510019903001047,51000109903001047,99999,510019903001047,34176
20,1,563,156,G51000109903001048,51001,990300,1048,510019903001048,51000109903001048,99999,510019903001048,34176
21,1,588,296,G51000109903002006,51001,990300,2006,510019903002006,51000109903002006,99999,510019903002006,70576
22,1,595,296,G51000109903002013,51001,990300,2013,510019903002013,51000109903002013,99999,510019903002013,70576
23,1,648,26,G51000109903003034,51001,990300,3034,510019903003034,51000109903003034,99999,510019903003034,08120
24,1,649,26,G51000109903003035,51001,990300,3035,510019903003035,51000109903003035,99999,510019903003035,08120
25,1,650,26,G51000109903003036,51001,990300,3036,510019903003036,51000109903003036,99999,510019903003036,08120
26,1,651,26,G51000109903003037,51001,990300,3037,510019903003037,51000109903003037,99999,510019903003037,08120
27,1,653,26,G51000109903003039,51001,990300,3039,510019903003039,51000109903003039,99999,510019903003039,08120
28,1,672,26,G51000109903003058,51001,990300,3058,510019903003058,51000109903003058,99999,510019903003058,08120
29,1,673,26,G51000109903003059,51001,990300,3059,510019903003059,51000109903003059,99999,510019903003059,08120
30,1,675,26,G51000109903003061,51001,990300,3061,510019903003061,51000109903003061,99999,510019903003061,08120
31,1,722,26,G51000109904002011,51001,990400,2011,510019904002011,51000109904002011,99999,510019904002011,08120
32,1,725,26,G51000109904002014,51001,990400,2014,510019904002014,51000109904002014,99999,510019904002014,08120
33,1,726,26,G51000109904002015,51001,990400,2015,510019904002015,51000109904002015,99999,510019904002015,08120
34,1,734,26,G51000109904002023,51001,990400,2023,510019904002023,51000109904002023,99999,510019904002023,08120
35,1,769,257,G51000109904003008,51001,990400,3008,510019904003008,51000109904003008,99999,510019904003008,60680
36,1,805,1,G51000109904004005,51001,990400,4005,510019904004005,51000109904004005,99999,510019904004005,00180
37,1,809,1,G51000109904004009,51001,990400,4009,510019904004009,51000109904004009,99999,510019904004009,00180
38,1,812,1,G51000109904004012,51001,990400,4012,510019904004012,51000109904004012,99999,510019904004012,00180
39,1,815,1,G51000109904004015,51001,990400,4015,510019904004015,51000109904004015,99999,510019904004015,00180
40,1,828,1,G51000109904004028,51001,990400,4028,510019904004028,51000109904004028,99999,510019904004028,00180
41,1,832,1,G51000109904004032,51001,990400,4032,510019904004032,51000109904004032,99999,510019904004032,00180
42,1,841,1,G51000109904004041,51001,990400,4041,510019904004041,51000109904004041,99999,510019904004041,00180
43,1,842,1,G51000109904004042,51001,990400,4042,510019904004042,51000109904004042,99999,510019904004042,00180
