Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_PLACECE,SE_T001_001,SE_T002_002,SE_T002_001,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T014_018,SE_T014_019,SE_T014_020,SE_T014_021,SE_T028_001,SE_T028_002,SE_T028_003,SE_T028_004,SE_T041_001,SE_T041_002,SE_T041_003,SE_T041_004,SE_T041_005,SE_T041_006,SE_T041_007,SE_T041_008,SE_T041_009,SE_T041_010,SE_T041_011,SE_T041_012,SE_T041_013,SE_T041_014,SE_T041_015,SE_T041_016,SE_T041_017,SE_T041_018,SE_T041_019,SE_T041_020,SE_T041_021,SE_T041_022,SE_T041_023,SE_T041_024,SE_T041_025,SE_T041_026,SE_T043_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,SE_T099_009,SE_T099_010,SE_T099_011,SE_T099_012,SE_T099_013,SE_T110_001,SE_T110_002,SE_T110_003,SE_T110_004,SE_T110_005,SE_T111_001,SE_T111_002,SE_T111_003,SE_T111_004,SE_T111_005
"Abbeville city","Abbeville city, Alabama","160","00","3","6","010005","01","0005",3173,3173,203.880915054084,15.563006469528,3173,2743,0,2743,430,0,430,3173,3158,2037,1114,6,1,0,15,2,1,0,0,12,3173,3168,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2481,1330,31,1299,1222,152,157,83,42,85,71,38,28,55,66,123,64,46,18,12,4,18,6,63,13,49,20,9,0,0,21382,3071,2488,1809,670,0,9,0,583,157,421,0,0,5,3173,3138,35,16,19,35,18,0,10,7
"Adamsville city","Adamsville city, Alabama","160","00","3","6","010010","01","0010",4161,4161,1355.93106039255,3.06874008682666,4233,4233,4233,0,0,0,0,4161,4149,3482,659,5,3,0,12,11,0,0,0,1,4233,4219,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3296,1901,0,1901,1510,78,202,67,68,52,91,74,48,26,33,108,58,103,52,62,50,33,58,74,21,106,43,0,3,0,30370,4233,3759,3357,402,0,0,0,474,272,195,7,0,0,4233,4224,9,0,9,9,0,0,0,9
"Addison town","Addison town, Alabama","160","00","3","6","010015","01","0015",626,626,210.891322580645,2.96835352132906,615,0,0,0,615,17,598,626,626,624,0,1,1,0,0,0,0,0,0,0,615,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,307,0,307,250,44,39,30,18,13,7,16,11,10,4,8,5,4,3,5,1,9,0,2,7,8,2,0,0,4,14167,613,476,474,0,2,0,0,137,137,0,0,0,0,615,613,2,2,0,2,0,2,0,0
"Akron town","Akron town, Alabama","160","00","3","6","010020","01","0020",468,468,843.50339874739,0.55482882546174,528,0,0,0,528,9,519,468,463,97,366,0,0,0,5,0,5,0,0,0,528,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,172,0,172,219,66,47,16,10,17,6,11,7,6,5,6,0,5,3,2,0,0,0,2,0,0,10,0,0,0,9405,528,305,114,191,0,0,0,223,25,198,0,0,0,528,528,0,0,0,0,0,0,0,0
"Alabaster city","Alabaster city, Alabama","160","00","3","6","010025","01","0025",14732,14732,781.68694616078,18.8464193656496,14732,14732,14732,0,0,0,0,14732,14652,12957,1617,30,48,0,80,75,0,0,0,5,14732,14606,126,74,7,0,45,0,18,0,0,18,0,0,0,5,0,0,0,5,22,10750,7786,7,7779,4842,162,254,133,114,204,179,129,168,153,197,213,166,256,132,240,178,207,190,361,342,540,242,58,5,19,39261,14481,13663,12329,1213,32,79,10,818,405,405,8,0,0,14732,14568,164,73,91,164,59,42,0,63
"Albertville city","Albertville city, Alabama","160","00","3","6","010030","01","0030",14507,14507,568.658240370499,25.5109290081653,14507,14507,0,14507,0,0,0,14507,14430,14194,182,32,22,0,77,73,0,1,0,3,14507,14392,115,110,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11386,6971,8,6963,5774,591,853,345,333,337,275,286,236,289,252,260,174,198,154,218,76,150,38,182,123,195,113,51,0,45,21337,14323,11803,11544,181,18,60,0,2520,2511,9,0,0,0,14507,14426,81,20,61,81,38,31,9,3
"Alexander City city","Alexander City city, Alabama","160","00","3","6","010035","01","0035",14917,14917,383.983173610559,38.8480564388715,14917,14917,0,14917,0,0,0,14917,14899,10678,4175,16,27,3,18,6,9,0,0,3,14917,14905,12,0,0,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,11480,7076,22,7054,5719,600,800,342,386,356,263,290,215,217,244,216,87,190,209,135,114,110,120,167,139,262,130,48,18,61,20970,14597,12105,9384,2663,0,58,0,2492,1091,1401,0,0,0,14917,14868,49,27,22,49,22,14,13,0
"Aliceville city","Aliceville city, Alabama","160","00","3","6","010040","01","0040",3009,3009,669.180310149407,4.49654592994253,2148,2148,0,2148,0,0,0,3009,3006,1374,1617,0,15,0,3,0,3,0,0,0,2148,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,728,0,728,950,246,222,98,24,12,29,59,25,30,36,14,0,38,31,0,36,0,21,29,0,0,0,0,0,0,10179,2063,1185,773,412,0,0,0,878,158,720,0,0,0,2148,2148,0,0,0,0,0,0,0,0
"Allgood town","Allgood town, Alabama","160","00","3","6","010045","01","0045",464,464,447.580794040968,1.03668433985022,482,0,0,0,482,0,482,464,425,425,0,0,0,0,39,5,0,0,0,34,482,420,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,252,3,249,165,12,11,9,2,27,5,8,18,14,11,6,3,4,4,7,0,8,0,2,2,6,6,0,0,0,23681,479,445,390,0,0,0,55,34,34,0,0,0,0,482,429,53,15,38,53,53,0,0,0
"Altoona town","Altoona town, Alabama","160","00","3","6","010050","01","0050",960,960,252.118077469073,3.807739649759,963,0,0,0,963,17,946,960,960,918,39,2,0,1,0,0,0,0,0,0,963,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,394,0,394,370,66,74,15,23,32,21,16,11,12,17,4,1,5,13,16,5,3,0,9,8,10,7,0,0,2,15547,912,700,675,23,0,0,2,212,196,16,0,0,0,963,961,2,2,0,2,0,0,0,2
"Andalusia city","Andalusia city, Alabama","160","00","3","6","010055","01","0055",9269,9269,510.909142163957,18.1421689984664,9290,9290,0,9290,0,0,0,9269,9222,7067,2114,28,13,0,47,23,5,0,0,19,9290,9232,58,18,0,7,33,0,0,0,0,0,0,0,0,33,0,0,0,33,0,7183,4044,7,4037,3832,557,595,343,216,188,194,191,171,146,157,156,139,89,56,75,42,66,29,106,53,130,94,11,15,13,17719,9174,6842,5598,1203,0,29,12,2332,1354,887,66,0,25,9290,9177,113,41,72,113,66,6,6,35
"Anderson town","Anderson town, Alabama","160","00","3","6","010057","01","0057",339,339,262.326242007768,1.29228397969411,317,0,0,0,317,25,292,339,336,336,0,0,0,0,3,3,0,0,0,0,317,309,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,127,0,127,133,17,30,4,6,6,3,9,11,7,0,6,2,4,5,6,0,5,2,2,0,8,0,0,0,0,20139,317,281,281,0,0,0,0,36,36,0,0,0,0,317,317,0,0,0,0,0,0,0,0
"Anniston city","Anniston city, Alabama","160","00","3","6","010060","01","0060",26623,26623,1317.88862070679,20.2012518976922,26623,26623,26623,0,0,0,0,26623,26411,14418,11769,47,175,2,212,91,32,2,6,81,26623,26340,283,137,116,0,30,0,15,0,0,7,0,8,0,0,0,0,0,0,15,20492,11305,492,10813,10800,1353,1773,826,513,660,430,451,396,437,481,501,304,288,222,189,159,163,165,388,177,371,248,118,36,151,19099,26175,19788,12554,6957,44,186,47,6387,1722,4638,0,27,0,26623,26249,374,235,139,374,125,113,82,54
"Arab city","Arab city, Alabama","160","00","3","6","010065","01","0065",6321,6321,496.521719883538,12.7305609137957,6313,6313,0,6313,0,0,0,6321,6299,6282,0,9,8,0,22,19,0,0,1,2,6313,6298,15,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5037,3081,0,3081,2587,244,262,196,118,176,169,132,99,46,81,111,113,92,50,79,55,17,42,124,96,210,60,15,0,0,22434,6252,5453,5440,0,0,13,0,799,799,0,0,0,0,6313,6273,40,32,8,40,0,0,30,10
"Ardmore town","Ardmore town, Alabama","160","00","3","6","010070","01","0070",1090,1090,534.270802422407,2.04016389265124,1090,0,0,0,1090,8,1082,1090,1084,1065,18,1,0,0,6,6,0,0,0,0,1090,1079,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,855,509,0,509,432,78,89,22,10,13,18,26,17,25,19,14,7,2,8,16,7,13,6,10,15,13,2,2,0,0,18056,1090,795,772,20,3,0,0,295,295,0,0,0,0,1090,1087,3,3,0,3,0,0,3,0
"Argo town","Argo town, Alabama","160","00","3","6","010073","01","0073",930,930,180.26409519533,5.1590972622267,953,0,0,0,953,0,953,930,929,919,3,7,0,0,1,1,0,0,0,0,953,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,423,0,423,337,13,56,20,11,17,34,19,14,30,11,11,15,22,14,4,0,22,5,5,2,8,4,0,0,0,22303,944,857,844,4,9,0,0,87,87,0,0,0,0,953,951,2,2,0,2,0,2,0,0
"Ariton town","Ariton town, Alabama","160","00","3","6","010075","01","0075",743,743,146.584482327849,5.06874935327886,754,0,0,0,754,14,740,743,737,548,187,2,0,0,6,6,0,0,0,0,754,740,14,12,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,567,340,4,336,274,40,51,29,7,15,9,17,13,13,17,17,4,4,6,2,2,3,11,4,0,2,6,0,0,2,16667,754,604,435,166,3,0,0,150,110,40,0,0,0,754,754,0,0,0,0,0,0,0,0
"Arley town","Arley town, Alabama","160","00","3","6","010077","01","0077",338,338,127.704732895697,2.64673040956174,349,0,0,0,349,19,330,338,338,338,0,0,0,0,0,0,0,0,0,0,349,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,160,0,160,129,9,12,11,2,9,13,10,9,9,2,4,8,2,0,6,3,3,3,0,0,8,2,4,0,0,22125,349,283,283,0,0,0,0,66,66,0,0,0,0,349,349,0,0,0,0,0,0,0,0
